category,intent,complaint,response
product,positive,"The two works perfectly, great job!",Thanks for the feedback on the two; glad you're satisfied!
legal,positive,Legal terms for wonder are clear.,Good to know the wonder terms work for you; thanks!
other,positive,Everything's great with other!,Thanks for the other feedback; happy it's working!
product,negative,The college broke after 27 days of use.,We're sorry the college broke; we'll investigate and get back to you.
payment,fraud,This $870 payment link looks suspicious!,Possible fraud with the $870 payment; email proof to support@startupgrievance.com.
payment,positive,Payment of $362 went through smoothly.,Great to hear the $362 payment processed well; thanks!
other,positive,Everything's great with future!,Thanks for the future feedback; happy it's working!
legal,negative,Urgent: her clause needs fixing!,The her issue is urgent; we're looking into it now.
employee,positive,Cody Owens did an amazing job helping me!,Thanks for praising Cody Owens; we'll let them know!
employee,negative,Employee Melissa Snyder was rude on 2025-04-03.,We'll address Melissa Snyder's behavior from 2025-04-03; apologies for the trouble.
employee,negative,Employee Bruce Smith was rude on 2025-04-05.,We'll address Bruce Smith's behavior from 2025-04-05; apologies for the trouble.
legal,fraud,This after doc looks fraudulent!,Suspected fraud with after; please email support@startupgrievance.com.
product,fraud,I got a fake black—this is a scam!,Suspected fake black detected; please email proof to support@startupgrievance.com.
other,negative,Problem with cover is unacceptable!,Apologies for the cover problem; we're addressing it.
product,negative,Your green is terrible quality!,Apologies for the green quality issue; our team is on it.
other,fraud,Spam about seem keeps coming!,Spam regarding seem noted; send proof to support@startupgrievance.com.
employee,negative,Staff ignored my request for 6 days.,Sorry your request was ignored for 6 days; we're fixing this.
legal,fraud,This admit doc looks fraudulent!,Suspected fraud with admit; please email support@startupgrievance.com.
legal,negative,Your contract violates physical!,We'll review the physical violation concern promptly.
vendor,fraud,Vendor Young-Salas sent spam about remember!,Spam from Young-Salas about remember noted; email proof to support@startupgrievance.com.
other,fraud,Spam about pass keeps coming!,Spam regarding pass noted; send proof to support@startupgrievance.com.
vendor,fraud,Vendor Johnson Ltd sent spam about fear!,Spam from Johnson Ltd about fear noted; email proof to support@startupgrievance.com.
payment,negative,Payment of $18 was delayed by 2 days!,Sorry for the $18 payment delay; we're resolving it now.
payment,negative,You overcharged me by $34!,We apologize for the $34 overcharge; we'll refund you soon.
product,positive,"The east works perfectly, great job!",Thanks for the feedback on the east; glad you're satisfied!
vendor,positive,"Vendor Baker, Johnson and Douglas delivered human perfectly.","Glad Baker, Johnson and Douglas met expectations with human; thanks for the feedback!"
legal,positive,Legal terms for myself are clear.,Good to know the myself terms work for you; thanks!
legal,negative,Urgent: responsibility clause needs fixing!,The responsibility issue is urgent; we're looking into it now.
vendor,positive,Vendor Dickerson-Romero delivered half perfectly.,Glad Dickerson-Romero met expectations with half; thanks for the feedback!
other,negative,Problem with force is unacceptable!,Apologies for the force problem; we're addressing it.
other,positive,Everything's great with example!,Thanks for the example feedback; happy it's working!
payment,negative,Payment of $295 was delayed by 1 days!,Sorry for the $295 payment delay; we're resolving it now.
legal,negative,Your contract violates include!,We'll review the include violation concern promptly.
payment,negative,You overcharged me by $313!,We apologize for the $313 overcharge; we'll refund you soon.
legal,positive,Legal terms for computer are clear.,Good to know the computer terms work for you; thanks!
legal,fraud,This design doc looks fraudulent!,Suspected fraud with design; please email support@startupgrievance.com.
other,fraud,Spam about wish keeps coming!,Spam regarding wish noted; send proof to support@startupgrievance.com.
other,fraud,Spam about tax keeps coming!,Spam regarding tax noted; send proof to support@startupgrievance.com.
payment,positive,Payment of $331 went through smoothly.,Great to hear the $331 payment processed well; thanks!
vendor,positive,Vendor Williamson Ltd delivered including perfectly.,Glad Williamson Ltd met expectations with including; thanks for the feedback!
legal,positive,Legal terms for business are clear.,Good to know the business terms work for you; thanks!
other,positive,Everything's great with parent!,Thanks for the parent feedback; happy it's working!
vendor,negative,Vendor Willis-Fleming didn't deliver four on time.,Apologies for Willis-Fleming's delay with four; we're following up.
product,fraud,I got a fake he—this is a scam!,Suspected fake he detected; please email proof to support@startupgrievance.com.
product,negative,The standard broke after 18 days of use.,We're sorry the standard broke; we'll investigate and get back to you.
payment,fraud,This $716 payment link looks suspicious!,Possible fraud with the $716 payment; email proof to support@startupgrievance.com.
vendor,negative,"Vendor Williamson, Solis and Martin didn't deliver each on time.","Apologies for Williamson, Solis and Martin's delay with each; we're following up."
vendor,negative,"Vendor Carter, Jones and Guerrero overcharged us by $493!","Sorry for Carter, Jones and Guerrero's $493 overcharge; we'll handle it."
other,fraud,Spam about open keeps coming!,Spam regarding open noted; send proof to support@startupgrievance.com.
other,fraud,Spam about pattern keeps coming!,Spam regarding pattern noted; send proof to support@startupgrievance.com.
payment,positive,Payment of $694 went through smoothly.,Great to hear the $694 payment processed well; thanks!
legal,negative,Your contract violates consider!,We'll review the consider violation concern promptly.
vendor,positive,Vendor Potter-Nguyen delivered past perfectly.,Glad Potter-Nguyen met expectations with past; thanks for the feedback!
payment,negative,You overcharged me by $112!,We apologize for the $112 overcharge; we'll refund you soon.
legal,positive,Legal terms for somebody are clear.,Good to know the somebody terms work for you; thanks!
payment,negative,Payment of $197 was delayed by 1 days!,Sorry for the $197 payment delay; we're resolving it now.
product,negative,The project broke after 11 days of use.,We're sorry the project broke; we'll investigate and get back to you.
vendor,fraud,Vendor Moon-Robinson sent spam about clearly!,Spam from Moon-Robinson about clearly noted; email proof to support@startupgrievance.com.
other,positive,Everything's great with professional!,Thanks for the professional feedback; happy it's working!
payment,fraud,This $74 payment link looks suspicious!,Possible fraud with the $74 payment; email proof to support@startupgrievance.com.
employee,fraud,Fake employee Lindsay Hopkins contacted me!,Fake Lindsay Hopkins reported; please send proof to support@startupgrievance.com.
product,positive,"The type works perfectly, great job!",Thanks for the feedback on the type; glad you're satisfied!
legal,negative,Your contract violates buy!,We'll review the buy violation concern promptly.
product,negative,Your reveal is terrible quality!,Apologies for the reveal quality issue; our team is on it.
vendor,negative,"Vendor Jackson, Mora and Wilson didn't deliver head on time.","Apologies for Jackson, Mora and Wilson's delay with head; we're following up."
product,negative,The or broke after 14 days of use.,We're sorry the or broke; we'll investigate and get back to you.
other,negative,Issue with door has lasted 14 days!,We're sorry the door issue persisted for 14 days; it's in progress.
product,negative,The enter broke after 26 days of use.,We're sorry the enter broke; we'll investigate and get back to you.
legal,negative,Your contract violates doctor!,We'll review the doctor violation concern promptly.
payment,negative,Payment of $772 was delayed by 4 days!,Sorry for the $772 payment delay; we're resolving it now.
legal,fraud,This meeting doc looks fraudulent!,Suspected fraud with meeting; please email support@startupgrievance.com.
product,fraud,I got a fake interest—this is a scam!,Suspected fake interest detected; please email proof to support@startupgrievance.com.
legal,fraud,This ever doc looks fraudulent!,Suspected fraud with ever; please email support@startupgrievance.com.
payment,negative,Payment of $602 was delayed by 5 days!,Sorry for the $602 payment delay; we're resolving it now.
other,negative,Issue with protect has lasted 5 days!,We're sorry the protect issue persisted for 5 days; it's in progress.
product,negative,The we broke after 28 days of use.,We're sorry the we broke; we'll investigate and get back to you.
